#ID,	Name,			Label,			Type,	Price,	Sell,	Weight,	ATK,	DEF,	Range,	Slot,	Job,		Gender,	Loc,	wLV,	eLV,	View,	{UseScript},				{EquipScript}
  0,	DEFAULT,		Default,		0,	20,	10,	10,	,	,	,	,	10477567,	2,	,	,	,	,	{},					{}
501,	CactusDrink,		Cactus Drink,		0,	50,	25,	70,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 15,0; },			{}
502,	CactusPotion,		Cactus Potion,		0,	70,	35,	70,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 25,10; },			{}
503,	CasinoCoins,		Casino Coins,		3,	20,	10,	1,	,	,	,	,	,		,	,	,	,	,	{},					{}
504,	DecorCandyCane,		Decor Candy Cane,	3,	25,	10,	10,	,	,	,	,	,		,	,	,	,	,	{},					{}
505,	MaggotSlime,		Maggot Slime,		3,	8,	4,	10,	,	,	,	,	,		,	,	,	,	,	{},					{}
506,	CandyCane,		Candy Cane,		0,	20,	10,	1,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 5,0; },			{}
507,	ScorpionStinger,	ScorpionStinger,	3,	50,	25,	10,	,	,	,	,	,		,	,	,	,	,	{},					{}
508,	XmasCake,		Xmas Cake,		0,	70,	10,	1,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 10,0; },			{}
509,	ChocolateBar,		Chocolate Bar,		0,	60,	20,	1,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 20,0; },			{}
510,	Candy,			Candy,			0,	20,	10,	1,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 5,0; },			{}
511,	SantaHat,		Santa Hat,		5,	400,	200,	200,	,	2,	,	0,	10477567,	2,	256,	,	0,	10,	{},					{}
512,	GingerBreadMan,		Ginger Bread Man,	0,	50,	25,	1,	,	,	,	,	10477567,	2,	,	,	0,	,	{ itemheal 25,0; },			{}
