# ID,	Name,		Jname,		LV,	HP,	SP,	EXP,	JEXP,	Range1,	ATK1,	ATK2,	DEF,	MDEF,	STR,	AGI,	VIT,	INT,	DEX,	LUK,	Range2,	Range3,	Scale,	Race,	Element,Mode,	Speed,	Adelay,	Amotion,Dmotion,Drop1id,Drop1per,	Drop2id,Drop2per,	Drop3id,Drop3per,	Drop4id,Drop4per,	Drop5id,Drop5per,	Drop6id,Drop6per,	Drop7id,Drop7per,	Drop8id,Drop8per,	Item1,	Item2,	MEXP,	ExpPer,	MVP1id,	MVP1per,MVP2id,	MVP2per,MVP3id,	MVP3per,mutation count,mutation strength
1002,	Maggot,		Maggot,		5,	50,	0,	0,	2,	1,	5,	10,	0,	5,	1,	1,	1,	0,	6,	5,	1,	1,	1,	3,	21,	129,	800,	1872,	672,	480,	505,	800,		501,	150,		518,	400,		533,	150,		502,	70,		522,	10,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1003,	Scorpion,	Scorpion,	10,	100,	0,	0,	4,	1,	10,	15,	0,	5,	1,	1,	1,	0,	15,	5,	1,	1,	1,	3,	20,	129,	2000,	1872,	672,	480,	507,	700,		510,	100,		509,	50,		518,	700,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	0,		0
1004,	RedScorpion,	Red Scorpion,	90,	550,	0,	0,	145,	1,	50,	55,	4,	6,	8,	8,	10,	10,	30,	10,	1,	1,	1,	0,	20,	129,	1000,	1872,	672,	480,	517,	2000,		509,	100,		518,	500,		1200,	10,		1199,	760,		1201,	540,		524,	25,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		50
1005,	GreenSlime,	Green Slime,	40,	300,	0,	0,	8,	1,	25,	30,	2,	7,	1,	20,	1,	0,	30,	30,	1,	1,	1,	0,	21,	131,	1500,	1872,	672,	480,	502,	200,		513,	100,		501,	100,		521,	100,		522,	190,		526,	10,		503,	500,		535,	750,		0,	0,	0,	0,	,	,	,	,	,	,	1,		20
1006,	GiantMaggot,	Giant Maggot,	80,	500,	0,	0,	16,	2,	45,	75,	2,	7,	8,	6,	2,	1,	22,	1,	2,	2,	1,	0,	41,	129,	2000,	1872,	672,	480,	1199,	900,		519,	100,		518,	750,		501,	5000,		502,	3000,		503,	11,		526,	20,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		25
1007,	YellowSlime,	Yellow Slime,	60,	400,	0,	0,	2,	1,	35,	40,	2,	7,	9,	6,	2,	1,	34,	1,	1,	1,	1,	0,	21,	131,	1400,	1800,	672,	480,	534,	200,		519,	100,		501,	350,		502,	250,		522,	10,		640,	150,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		20
1008,	RedSlime,	Red Slime,	70,	450,	0,	0,	56,	1,	40,	45,	2,	7,	12,	8,	2,	1,	25,	1,	1,	1,	1,	0,	21,	135,	1300,	1500,	672,	480,	1201,	300,		509,	110,		521,	200,		523,	80,		525,	80,		535,	750,		528,	250,		531,	150,		0,	0,	0,	0,	,	,	,	,	,	,	2,		20
1009,	BlackScorpion,	Black Scorpion,	100,	600,	0,	0,	70,	1,	60,	100,	4,	6,	16,	30,	10,	10,	35,	10,	1,	1,	1,	0,	20,	133,	1000,	1500,	672,	480,	523,	150,		509,	100,		518,	800,		709,	800,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		50
1010,	Snake,		Snake,		115,	850,	0,	0,	100,	1,	75,	90,	4,	6,	20,	11,	10,	10,	35,	10,	1,	1,	1,	0,	20,	133,	900,	1300,	672,	480,	524,	300,		0,	0,		714,	400,		714,	400,		710,	500,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1011,	FireGoblin,	Fire Goblin,	20,	220,	0,	0,	2,	1,	15,	20,	0,	5,	1,	1,	1,	0,	6,	30,	1,	1,	1,	3,	23,	129,	800,	1872,	672,	480,	505,	800,		501,	150,		518,	800,		502,	150,		521,	70,		522,	10,		701,	500,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1012,	Spider,		Spider,		125,	800,	0,	0,	280,	1,	70,	85,	4,	6,	14,	13,	10,	10,	35,	10,	1,	1,	1,	0,	25,	175,	1000,	1500,	672,	480,	537,	500,		535,	100,		638,	20,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		40
1013,	EvilMushroom,	Evil Mushroom,	110,	650,	0,	0,	110,	1,	65,	80,	4,	6,	16,	12,	10,	10,	35,	10,	1,	1,	1,	3,	22,	137,	800,	1800,	672,	480,	535,	500,		540,	10,		534,	100,		566,	500,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		60
1014,	Flower,		Flower,		115,	700,	0,	0,	110,	2,	70,	75,	0,	5,	16,	12,	20,	20,	20,	50,	2,	2,	1,	3,	22,	128,	800,	800,	672,	480,	535,	100,		540,	10,		1199,	100,		526,	400,		565,	500,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		50
1015,	SantaSlime,	Santa Slime,	120,	750,	0,	0,	0,	1,	75,	80,	2,	7,	1,	20,	1,	0,	30,	30,	1,	1,	1,	0,	21,	161,	1500,	1872,	672,	480,	512,	800,		513,	700,		514,	600,		519,	500,		527,	400,		538,	500,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		10
1016,	RudolphSlime,	Rudolph Slime,	50,	350,	0,	0,	16,	1,	30,	35,	10,	7,	1,	20,	1,	0,	30,	30,	1,	1,	1,	0,	21,	131,	1000,	1872,	672,	480,	504,	800,		506,	500,		508,	200,		509,	300,		510,	600,		515,	800,		516,	500,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1017,	Bat,		Bat,		20,	150,	0,	0,	2,	1,	5,	25,	0,	5,	1,	1,	1,	0,	20,	25,	1,	1,	1,	3,	24,	129,	800,	1872,	672,	480,	505,	800,		501,	150,		518,	400,		533,	150,		521,	70,		522,	1,		753,	3000,		754,	2000,		0,	0,	0,	0,	,	,	,	,	,	,	2,		40
1018,	Pinkie,		Pinkie,		30,	500,	0,	0,	3,	2,	7,	15,	0,	5,	1,	1,	1,	0,	20,	25,	2,	2,	1,	3,	20,	129,	800,	1872,	672,	480,	614,	800,		751,	40,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	3,		50
1019,	SpikyMushroom,	Spiky Mushroom,	30,	300,	0,	0,	4,	1,	10,	13,	0,	5,	1,	1,	1,	0,	10,	10,	1,	1,	1,	3,	20,	129,	800,	1872,	672,	480,	567,	800,		501,	150,		518,	50,		613,	150,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	3,		40
1020,	Fluffy,		Fluffy,		30,	500,	0,	0,	3,	1,	6,	10,	1,	5,	1,	2,	1,	0,	20,	25,	1,	1,	1,	3,	20,	129,	800,	1600,	672,	480,	611,	800,		527,	150,		535,	400,		752,	20,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	3,		40
1021,	CaveSnake,	Cave Snake,	30,	1000,	0,	0,	5,	1,	20,	15,	1,	5,	10,	1,	1,	0,	5,	20,	1,	1,	1,	3,	20,	129,	800,	1872,	672,	480,	612,	800,		610,	40,		713,	500,		717,	400,		717,	400,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	3,		50
1022,	JackO,		Jack O,		250,	10000,	0,	0,	5000,	2,	100,	500,	40,	20,	35,	40,	25,	25,	35,	50,	1,	1,	1,	0,	20,	133,	250,	1500,	672,	480,	617,	300,		622,	400,		624,	400,		620,	400,		615,	300,		1203,	400,		1198,	10000,		616,	600,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1023,	FireSkull,	Fire Skull,	180,	5000,	0,	0,	100,	2,	75,	175,	35,	15,	30,	30,	20,	20,	25,	60,	1,	1,	1,	3,	23,	175,	600,	1600,	672,	480,	631,	1000,		701,	5000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	2,		30
1024,	PoisonSkull,	Poison Skull,	180,	5000,	0,	0,	100,	2,	75,	175,	35,	15,	30,	30,	20,	20,	25,	60,	1,	1,	1,	3,	25,	175,	600,	1600,	672,	480,	631,	1000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	4,		20
1025,	LogHead,	Log Head,	30,	500,	0,	0,	30,	1,	7,	20,	50,	5,	1,	1,	1,	0,	20,	25,	1,	1,	1,	3,	22,	129,	800,	1872,	672,	480,	569,	2000,		740,	2500,		743,	3000,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,		0,	0,	0,	0,	,	,	,	,	,	,	1,		50
