// Name and Label MUST NOT exceed 23 characters (as marked)
//ID,   Name___________________,        Label__________________,            Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
503,    CasinoCoins,                    Casino Coins,                       3,      10,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
504,    DecorCandy,                     Decor Candy,                        3,      25,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
505,    MaggotSlime,                    Maggot Slime,                       3,      8,          4,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
507,    ScorpionStinger,                Scorpion Stinger,                   3,      50,         25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
515,    PurplePresentBox,               Purple Present Box,                 3,      50,         25,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
516,    BluePresentBox,                 Blue Present Box,                   3,      60,         30,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
517,    RedScorpionStinger,             Red Scorpion Stinger,               3,      170,        85,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
518,    BugLeg,                         Bug Leg,                            3,      100,        25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
526,    CoinBag,                        Coin Bag,                           3,      1000,       500,        5,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
537,    TreasureKey,                    Treasure Key,                       3,      100,        50,         2,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
538,    GreenPresentBox,                Green Present Box,                  3,      20,         10,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
540,    EmptyBottle,                    Empty Bottle,                       3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
542,    BottleOfSand,                   Bottle of Sand,                     3,      70,         35,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
551,    AquaHint,                       Aqua Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
552,    MagentaHint,                    Magenta Hint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
553,    YellowHint,                     Yellow Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
554,    GreenHint,                      Green Hint,                         3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
555,    TealHint,                       Teal Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
556,    PurpleHint,                     Purple Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
557,    RedHint,                        Red Hint,                           3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
558,    BlueHint,                       Blue Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
559,    OrangeHint,                     Orange Hint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
//ID,   Name___________________,        Label__________________,            Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
560,    GrayHint,                       Gray Hint,                          3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
569,    RawLog,                         Raw Log,                            3,      20,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
589,    Toothbrush,                     Toothbrush,                         3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
611,    WhiteFur,                       White Fur,                          3,      8,          4,          8,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
612,    CaveSnakeLamp,                  Cave Snake Lamp,                    3,      80,         40,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
613,    HardSpike,                      Hard Spike,                         3,      40,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
614,    PinkAntenna,                    Pink Antenna,                       3,      10,         5,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
631,    DarkCrystal,                    Dark Crystal,                       3,      1000,       250,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
635,    SantaCookie,                    Santa Cookie,                       3,      1,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
640,    IronOre,                        Iron Ore,                           3,      250,        100,        40,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
641,    SnakeSkin,                      Snake Skin,                         3,      250,        100,        15,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
660,    CottonCloth,                    Cotton Cloth,                       3,      400,        100,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
661,    RedRose,                        Red Rose,                           3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
662,    WhiteRose,                      White Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
663,    DarkRedRose,                    Dark Red Rose,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
664,    PinkRose,                       Pink Rose,                          3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
665,    YellowRose,                     Yellow Rose,                        3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
666,    BlackRose,                      Black Rose,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
667,    OrangeRose,                     Orange Rose,                        3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
668,    BlueRose,                       Blue Rose,                          3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
669,    YellowTulip,                    Yellow Tulip,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
670,    PurpleTulip,                    Purple Tulip,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
671,    RedTulip,                       Red Tulip,                          3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
672,    WhiteTulip,                     White Tulip,                        3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
673,    PinkTulip,                      Pink Tulip,                         3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
674,    OrangeTulip,                    Orange Tulip,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
677,    HeartNecklace,                  Heart Necklace,                     3,      2500,       1000,       10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
680,    MauveHerb,                      Mauve Herb,                         3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
