//ID, Name,           Jname,           Jname,           LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3, Scale, Race, Element, Mode,    Speed, Adelay,  Amotion,  Dmotion, Item1, MEXP,   ExpPer,  MVP1id, MVP1per, MVP2id, MVP2per, Drop1id, Drop1per, Drop2id, Drop2%,   Drop3id, Drop3%,   Drop4id, Drop4%,   Drop5id, Drop5%,   Drop6id, Drop6%,   Drop7id, Drop7%,   Drop8id, Drop8%,   0,       0,        0,       0        
1007, YellowSlime,    YellowSlime,     YellowSlime,     60,   400,  0,    66,   9,    1,      35,   40,   2,    7,    9,    6,    2,    1,    34,   1,    1,      1,      1,     0,    21,      131,     1400,  1800,    672,      480,     0,    0,      0,       0,      0,       0,      0,       534,     200,      519,     100,      501,     350,      502,     250,      522,     10,       640,     450,      4006,    20,       4001,    450,      0,       0,        0,       0        
1008, RedSlime,       RedSlime,        RedSlime,        70,   450,  0,    79,   17,   1,      40,   45,   2,    7,    12,   8,    2,    1,    25,   1,    1,      1,      1,     0,    21,      135,     1300,  1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       1201,    300,      509,     110,      521,     200,      4003,    20,       525,     80,       535,     750,      528,     250,      531,     150,      0,       0,        0,       0        
1033, SeaSlime,       SeaSlime,        SeaSlime,        70,   600,  0,    116,  13,   1,      30,   50,   3,    7,    1,    25,   1,    0,    30,   30,   1,      1,      1,     0,    41,      131,     1500,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       535,     800,      657,     800,      518,     500,      510,     1000,     700,     100,      1199,    5000,     568,     100,      541,     50,       0,       0,        0,       0        
1040, Wisp,           Wisp,            Wisp,            70,   9300, 0,    1514, 1210, 2,      215,  350,  0,    20,   45,   12,   13,   15,   0,    45,   1,      1,      1,     0,    27,      137,     380,   2000,    672,      1500,    0,    0,      0,       0,      0,       0,      0,       772,     1000,     703,     150,      703,     120,      0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1054, Troll,          Troll,           Troll,           65,   2000, 0,    503,  129,  1,      70,   100,  20,   10,   50,   40,   10,   10,   30,   30,   1,      1,      1,     0,    20,      137,     600,   1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       1199,    2000,     529,     500,      539,     300,      526,     250,      512,     200,      906,     10,       0,       0,        0,       0,        0,       0,        0,       0        
1061, Moggun,         Moggun,          Moggun,          60,   800,  0,    174,  52,   1,      70,   90,   20,   10,   50,   40,   10,   10,   10,   10,   1,      1,      1,     0,    25,      137,     600,   1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       611,     600,      4001,    1000,     4002,    20,       0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1101, DemonicSpirit,  DemonicSpirit,   DemonicSpirit,   72,   1505, 0,    478,  270,  1,      125,  175,  4,    6,    20,   40,   10,   10,   110,  45,   1,      1,      1,     0,    89,      133,     230,   900,     672,      480,     0,    0,      0,       0,      0,       0,      0,       631,     1000,     0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0,        0,       0        
1110, AngryGreenSlime, AngryGreenSlime, AngryGreenSlime, 60,   1000, 0,    249,  135,  1,      100,  160,  20,   30,   20,   30,   10,   10,   30,   30,   1,      1,      1,     0,    21,      175,     1200,  1872,    672,      480,     0,    0,      0,       0,      0,       0,      0,       502,     200,      4004,    20,       501,     100,      521,     250,      522,     200,      526,     500,      503,     500,      535,     750,      0,       0,        0,       0        
1117, UndeadTroll,    UndeadTroll,     UndeadTroll,     75,   3100, 0,    910,  179,  2,      60,   140,  20,   10,   50,   40,   20,   10,   40,   49,   1,      1,      1,     0,    20,      133,     650,   1500,    672,      480,     0,    0,      0,       0,      0,       0,      0,       1199,    2000,     631,     1000,     529,     500,      539,     300,      526,     250,      4023,    200,      906,     20,       0,       0,        0,       0,        0,       0        
//ID, Name,           Jname,           Jname,           LV,   HP,   SP,   EXP,  JEXP, Range1, ATK1, ATK2, DEF,  MDEF, STR,  AGI,  VIT,  INT,  DEX,  LUK,  Range2, Range3, Scale, Race, Element, Mode,    Speed, Adelay,  Amotion,  Dmotion, Item1, MEXP,   ExpPer,  MVP1id, MVP1per, MVP2id, MVP2per, Drop1id, Drop1per, Drop2id, Drop2%,   Drop3id, Drop3%,   Drop4id, Drop4%,   Drop5id, Drop5%,   Drop6id, Drop6%,   Drop7id, Drop7%,   Drop8id, Drop8%,   0,       0,        0,       0        
