//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1005,   GreenSlime,             GreenSlime,             40,     800,    0,      0,      96,     1,      80,     120,    20,     30,     20,     30,     10,     10,     30,     30,     1,      1,      1,      0,      21,     175,    1200,   1872,   672,    480,    502,    200,    4004,   20,     501,    100,    521,    250,    522,    200,    526,    500,    503,    500,    719,    750,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1016,   RudolphSlime,           RudolphSlime,           50,     350,    0,      0,      8,      1,      30,     35,     10,     7,      1,      20,     1,      0,      30,     30,     1,      1,      1,      0,      21,     131,    1000,   1872,   672,    480,    504,    800,    506,    500,    508,    200,    509,    300,    510,    600,    515,    800,    516,    500,    0,      400,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1065,   BanditLord,             BanditLord,             40,     2000,   0,      0,      103,    5,      50,     50,     15,     15,     15,     15,     15,     15,     15,     15,     1,      1,      1,      0,      29,     135,    400,    1500,   672,    900,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1080,   BlueSpark,              BlueSpark,              40,     10000,  0,      0,      392,    2,      40,     40,     20,     40,     30,     30,     30,     30,     30,     30,     1,      1,      1,      0,      20,     129,    190,    1500,   800,    800,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1081,   RedSpark,               RedSpark,               40,     10000,  0,      0,      392,    2,      40,     40,     20,     40,     30,     30,     30,     30,     30,     30,     1,      1,      1,      0,      20,     129,    190,    1500,   800,    800,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1086,   FeyElement,             FeyElement,             50,     5000,   0,      12500,  901,    5,      50,     125,    25,     50,     20,     70,     10,     20,     80,     1,      1,      1,      1,      0,      84,     165,    330,    740,    672,    400,    834,    5000,   680,    1000,   680,    1000,   681,    1000,   681,    1000,   682,    1000,   682,    1000,   683,    1000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      50
1088,   Hyvern,                 Hyvern,                 40,     2250,   0,      0,      346,    1,      50,     125,    0,      10,     10,     45,     5,      0,      35,     35,     1,      1,      1,      0,      85,     133,    250,    800,    672,    480,    835,    2000,   518,    1000,   657,    600,    529,    3000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1090,   Wolvern,                Wolvern,                40,     900,    0,      0,      86,     1,      50,     80,     5,      5,      15,     10,     5,      0,      20,     10,     1,      1,      1,      3,      20,     133,    425,    770,    500,    200,    858,    1000,   859,    400,    4023,   200,    676,    1300,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      40
1091,   BlueSlime,              BlueSlime,              40,     2000,   0,      0,      77,     1,      100,    150,    20,     40,     40,     30,     50,     10,     50,     40,     1,      1,      1,      0,      61,     131,    1200,   1872,   672,    480,    4026,   200,    4005,   20,     501,    500,    862,    700,    863,    100,    864,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1098,   CopperSlime,            CopperSlime,            40,     600,    0,      0,      18,     1,      60,     90,     20,     30,     20,     30,     10,     10,     30,     30,     1,      1,      1,      0,      21,     131,    1200,   1872,   672,    480,    640,    1500,   537,    1000,   4001,   300,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1111,   CandiedSlime,           CandiedSlime,           50,     800,    0,      800,    66,     3,      50,     50,     20,     30,     20,     30,     10,     10,     30,     30,     1,      1,      1,      0,      21,     175,    1200,   1872,   672,    480,    510,    1000,   509,    1000,   515,    200,    516,    200,    538,    200,    512,    200,    508,    500,    514,    750,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1112,   Santaboo,               Santaboo,               50,     2200,   0,      0,      59,     2,      80,     125,    50,     10,     25,     10,     25,     0,      60,     30,     2,      2,      1,      3,      20,     129,    600,    1872,   672,    480,    512,    1000,   736,    1200,   737,    1200,   738,    1200,   739,    1200,   511,    50,     4042,   10,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
