// NOTE: I think min_casttime should be in battle config if we don't make it a variable
MIN_CASTTIME 200

// Magic Skills
SKILL_MAGIC           340
SKILL_MAGIC_LIFE      341
SKILL_MAGIC_WAR       342
SKILL_MAGIC_TRANSMUTE 343
SKILL_MAGIC_NATURE    344
SKILL_MAGIC_ASTRAL    345
SKILL_MAGIC_DARK      346

// Elements (Legacy)
ELT_NEUTRAL     0
ELT_WATER       1
ELT_EARTH       2
ELT_FIRE        3
ELT_WIND        4 // Deprecated
ELT_POISON      5 // Deprecated
ELT_SHADOW      6
ELT_HOLY        7
ELT_GHOST       8 // Deprecated
ELT_UNDEAD      9 // Deprecated

// Elements
Ele_Neutral   0
Ele_Water     1
Ele_Nature    2
Ele_Fire      3
Ele_Holy      6
Ele_Dark      7
Ele_Earth     2
Ele_Wind      2 // 4
Ele_Poison    2 // 5
Ele_Ghost     7 // 8
Ele_Undead    7 // 9
Ele_All     255

// Status effects
SC_SHEARED          194
SC_HIDE             194
SC_HALT_REGENERATE  195
SC_FLYING_BACKPACK  196
SC_MBARRIER         197
SC_HASTE            198
SC_PHYS_SHIELD      199
SO_GMHIDE           64
SO_GMINVISIBLE      4096

// Special effects
SFX_DEFAULT         10
SFX_SUMMON_START    21
SFX_SUMMON_FIRE     22
SFX_TELEPORT        24
SFX_RAIN            25
SFX_HIT             25
SFX_ARROW_HAIL      27
SFX_BARRIER         10
SFX_UNBARRIER       10
SFX_HEAL            3
SFX_LIGHTNING       18

// Magic Spell Const
MIN_MARRY_LEVEL                 32
MAX_RAIN_SPELL_RADIUS           15
MAX_MAGIC_LEVEL                 2
MFLAG_MADE_CONC_POTION          16384
MFLAG_MADE_CONC_POTION_SHIFT    14
// SCRIPT_XP "MAGIC_EXPERIENCE"
SCRIPT_XP_MASK                  65535
SCRIPT_XP_SHIFT                 0
SCRIPT_HEALSPELL_MASK           255
SCRIPT_HEALSPELL_SHIFT          24
ATTACK_ICON_GENERIC             2000
ATTACK_ICON_SHEARING            2001
E10_FLAG_USED_FREE_WARP_SHIFT   17

// Upmarmu Exhaustion Const
UPMARMU_HITS_TILL_EXHAUST 200
UPMARMU_EXHAUST_DURATION  25000
