// Name and Label MUST NOT exceed 23 characters (as marked)
//ID,   Name___________________,        Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
503,    CasinoCoins,                    3,      10,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
504,    DecorCandy,                     3,      25,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
505,    MaggotSlime,                    3,      8,          4,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
507,    ScorpionStinger,                3,      50,         25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
515,    PurplePresentBox,               3,      50,         25,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
516,    BluePresentBox,                 3,      60,         30,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
517,    RedScorpionStinger,             3,      170,        85,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
518,    BugLeg,                         3,      100,        25,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
526,    CoinBag,                        3,      1000,       500,        5,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
537,    TreasureKey,                    3,      100,        50,         2,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
538,    GreenPresentBox,                3,      20,         10,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
540,    EmptyBottle,                    3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
542,    BottleOfSand,                   3,      70,         35,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
551,    AquaHint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
552,    MagentaHint,                    3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
553,    YellowHint,                     3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
554,    GreenHint,                      3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
555,    TealHint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
556,    PurpleHint,                     3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
557,    RedHint,                        3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
558,    BlueHint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
559,    OrangeHint,                     3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
//ID,   Name___________________,        Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
560,    GrayHint,                       3,      20,         0,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
569,    RawLog,                         3,      20,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
589,    Toothbrush,                     3,      20,         10,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
611,    WhiteFur,                       3,      8,          4,          8,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
612,    CaveSnakeLamp,                  3,      80,         40,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
613,    HardSpike,                      3,      40,         10,         10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
614,    PinkAntenna,                    3,      10,         5,          10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
631,    DarkCrystal,                    3,      1000,       250,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
635,    SantaCookie,                    3,      1,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
640,    IronOre,                        3,      250,        100,        40,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
641,    SnakeSkin,                      3,      250,        100,        15,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
660,    CottonCloth,                    3,      400,        100,        10,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
661,    RedRose,                        3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
662,    WhiteRose,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
663,    DarkRedRose,                    3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
664,    PinkRose,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
665,    YellowRose,                     3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
666,    BlackRose,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
667,    OrangeRose,                     3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
668,    BlueRose,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
669,    YellowTulip,                    3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
670,    PurpleTulip,                    3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
671,    RedTulip,                       3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
672,    WhiteTulip,                     3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
673,    PinkTulip,                      3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
674,    OrangeTulip,                    3,      80,         20,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
680,    MauveHerb,                      3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
681,    CobaltHerb,                     3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
682,    GambogeHerb,                    3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
683,    AlizarinHerb,                   3,      2,          1,          1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
690,    RedDye,                         3,      100,        20,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
691,    GreenDye,                       3,      2500,       1000,       10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
692,    DarkBlueDye,                    3,      40000,      15000,      10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
693,    YellowDye,                      3,      100,        20,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
694,    LightBlueDye,                   3,      100,        20,         10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
695,    PinkDye,                        3,      2500,       1000,       10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
696,    BlackDye,                       3,      30000,      25000,      10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
697,    OrangeDye,                      3,      2500,       1000,       10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
698,    PurpleDye,                      3,      70000,      50000,      10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
699,    DarkGreenDye,                   3,      2000,       1000,       10,         0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
700,    Pearl,                          3,      5000,       3000,       5,          0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
701,    PileOfAsh,                      3,      3000,       100,        5,          0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
703,    SulphurPowder,                  3,      1000,       25,         2,          0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
704,    IronPowder,                     3,      800,        80,         3,          0,      0,      0,      0,      0,      2,      0,          0,      0,      0,      {},                                                                     {}
706,    GoldenScorpionStinger,          3,      2000,       500,        2,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
707,    MonsterOilPotion,               3,      10000,      2000,       50,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
708,    LeatherPatch,                   3,      300,        150,        18,         0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
709,    BlackScorpionStinger,           3,      250,        100,        1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
//ID,   Name___________________,        Type,   Price,      Sell,       Weight,     ATK,    DEF,    Range,  Mbonus, Slot,   Gender, Loc,        wLV,    eLV,    View,   {UseScript},                                                            {EquipScript}
710,    SnakeTongue,                    3,      60,         30,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
711,    MountainSnakeTongue,            3,      80,         40,         1,          0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      {},                                                                     {}
