//ID,   Name,                   Jname,                  LV,     HP,         SP,     EXP,        JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,   Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%,     Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength

1002,   Maggot,                 Maggot,                 5,      50,         0,      0,          1,      1,      5,      10,     0,      5,      1,      1,      1,      0,      6,      5,      1,      1,      1,      3,      21,     129,    800,    1872,   672,    480,    505,    800,        501,    150,    518,    400,    533,    150,    502,    70,     522,    10,     0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1003,   Scorpion,               Scorpion,               10,     100,        0,      0,          2,      1,      10,     15,     0,      5,      1,      1,      1,      0,      15,     5,      1,      1,      1,      3,      20,     129,    2000,   1872,   672,    480,    507,    700,        510,    100,    509,    50,     518,    700,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1004,   RedScorpion,            RedScorpion,            90,     550,        0,      0,          16,     1,      50,     55,     4,      6,      8,      8,      10,     10,     30,     10,     1,      1,      1,      0,      20,     129,    1000,   1872,   672,    480,    517,    2000,       509,    100,    518,    500,    1200,   10,     1199,   760,    1201,   540,    524,    25,         0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      50
1005,   GreenSlime,             GreenSlime,             40,     800,        0,      0,          96,     1,      80,     120,    20,     30,     20,     30,     10,     10,     30,     30,     1,      1,      1,      0,      21,     175,    1200,   1872,   672,    480,    502,    200,        4004,   20,     501,    100,    521,    250,    522,    200,    526,    500,    503,    500,        535,    750,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1006,   GiantMaggot,            GiantMaggot,            80,     500,        0,      0,          14,     2,      45,     75,     2,      7,      8,      6,      2,      1,      22,     1,      2,      2,      1,      0,      41,     129,    2000,   1872,   672,    480,    1199,   900,        519,    100,    518,    750,    501,    5000,   502,    3000,   503,    11,     526,    200,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      25
1007,   YellowSlime,            YellowSlime,            60,     400,        0,      0,          9,      1,      35,     40,     2,      7,      9,      6,      2,      1,      34,     1,      1,      1,      1,      0,      21,     131,    1400,   1800,   672,    480,    534,    200,        519,    100,    501,    350,    502,    250,    522,    10,     640,    450,    4006,   20,         0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20
1008,   RedSlime,               RedSlime,               70,     450,        0,      0,          17,     1,      40,     45,     2,      7,      12,     8,      2,      1,      25,     1,      1,      1,      1,      0,      21,     135,    1300,   1500,   672,    480,    1201,   300,        509,    110,    521,    200,    4003,   20,     525,    80,     535,    750,    528,    250,        531,    150,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1009,   BlackScorpion,          BlackScorpion,          100,    600,        0,      0,          37,     1,      60,     100,    4,      6,      16,     30,     10,     10,     35,     10,     1,      1,      1,      0,      20,     133,    1000,   1500,   672,    480,    523,    150,        509,    100,    518,    800,    709,    800,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      50
1010,   Snake,                  Snake,                  115,    850,        0,      0,          56,     1,      75,     90,     4,      6,      20,     11,     10,     10,     35,     10,     1,      1,      1,      0,      20,     133,    900,    1300,   672,    480,    524,    300,        0,      0,      714,    400,    714,    400,    710,    500,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1011,   FireGoblin,             FireGoblin,             20,     220,        0,      0,          4,      1,      15,     20,     0,      5,      1,      1,      1,      0,      6,      30,     1,      1,      1,      3,      23,     129,    800,    1872,   672,    480,    505,    800,        501,    150,    518,    800,    502,    150,    521,    70,     522,    10,     701,    500,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1012,   Spider,                 Spider,                 125,    800,        0,      0,          115,    1,      70,     85,     4,      6,      14,     13,     10,     10,     35,     10,     1,      1,      1,      0,      25,     175,    1000,   1500,   672,    480,    537,    500,        535,    100,    638,    20,     526,    200,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1013,   EvilMushroom,           EvilMushroom,           110,    650,        0,      0,          35,     1,      65,     80,     4,      6,      16,     12,     10,     10,     35,     10,     1,      1,      1,      3,      22,     137,    800,    1800,   672,    480,    535,    500,        540,    10,     534,    100,    566,    1000,   0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1014,   PinkFlower,             PinkFlower,             115,    700,        0,      0,          40,     2,      70,     75,     0,      5,      16,     12,     20,     20,     20,     50,     2,      2,      1,      3,      22,     128,    800,    800,    672,    480,    535,    100,        540,    10,     1199,   100,    526,    400,    565,    1000,   0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      50
1015,   SantaSlime,             SantaSlime,             120,    750,        0,      0,          58,     1,      75,     80,     2,      7,      1,      20,     1,      0,      30,     30,     1,      1,      1,      0,      21,     161,    1500,   1872,   672,    480,    512,    800,        513,    700,    514,    600,    519,    500,    527,    400,    538,    500,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      10
1016,   RudolphSlime,           RudolphSlime,           50,     350,        0,      0,          8,      1,      30,     35,     10,     7,      1,      20,     1,      0,      30,     30,     1,      1,      1,      0,      21,     131,    1000,   1872,   672,    480,    504,    800,        506,    500,    508,    200,    509,    300,    510,    600,    515,    800,    516,    500,        0,      400,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1017,   Bat,                    Bat,                    20,     150,        0,      0,          3,      1,      5,      25,     0,      5,      1,      1,      1,      0,      20,     25,     1,      1,      1,      3,      24,     129,    800,    1872,   672,    480,    505,    800,        501,    150,    518,    400,    533,    150,    521,    70,     522,    1,      753,    3000,       754,    2000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1018,   Pinkie,                 Pinkie,                 30,     500,        0,      0,          7,      2,      7,      15,     0,      5,      1,      1,      1,      0,      20,     25,     2,      2,      1,      3,      20,     129,    800,    1872,   672,    480,    614,    800,        751,    40,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      50
1019,   SpikyMushroom,          SpikyMushroom,          30,     300,        0,      0,          5,      1,      10,     13,     0,      5,      1,      1,      1,      0,      10,     10,     1,      1,      1,      3,      20,     129,    800,    1872,   672,    480,    567,    800,        501,    150,    518,    50,     613,    150,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      40
1020,   Fluffy,                 Fluffy,                 30,     500,        0,      0,          7,      1,      6,      10,     1,      5,      1,      2,      1,      0,      20,     25,     1,      1,      1,      3,      20,     129,    800,    1600,   672,    480,    611,    800,        527,    150,    535,    400,    752,    20,     0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      40
1021,   CaveSnake,              CaveSnake,              30,     800,        0,      0,          13,     1,      20,     15,     1,      5,      10,     1,      1,      0,      5,      20,     1,      1,      1,      3,      20,     129,    800,    1872,   672,    480,    612,    1000,       610,    40,     713,    500,    717,    400,    717,    400,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      50
1022,   JackO,                  JackO,                  250,    10000,      0,      0,          1241,   2,      100,    500,    40,     20,     35,     40,     25,     25,     35,     50,     1,      1,      1,      0,      20,     133,    250,    1500,   672,    480,    617,    300,        622,    400,    624,    400,    620,    400,    615,    300,    1203,   400,    1198,   10000,      616,    600,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1023,   FireSkull,              FireSkull,              180,    5000,       0,      0,          721,    2,      75,     175,    35,     15,     30,     30,     20,     20,     25,     60,     1,      1,      1,      3,      23,     175,    600,    1600,   672,    480,    631,    1000,       701,    5000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1024,   PoisonSkull,            PoisonSkull,            180,    5000,       0,      0,          721,    2,      75,     175,    35,     15,     30,     30,     20,     20,     25,     60,     1,      1,      1,      3,      25,     175,    600,    1600,   672,    480,    631,    1000,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
1025,   LogHead,                LogHead,                30,     500,        0,      0,          5,      1,      7,      20,     50,     5,      1,      1,      1,      0,      20,     25,     1,      1,      1,      3,      22,     129,    800,    1872,   672,    480,    569,    2000,       740,    2500,   743,    3000,   0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      50
1026,   MountainSnake,          MountainSnake,          130,    900,        0,      0,          63,     1,      80,     125,    4,      6,      20,     40,     10,     10,     35,     45,     1,      1,      1,      0,      20,     133,    1000,   1500,   672,    480,    532,    20,         641,    150,    715,    400,    715,    400,    711,    500,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
1027,   EasterFluffy,           EasterFluffy,           30,     500,        0,      0,          7,      1,      10,     12,     0,      5,      1,      1,      1,      0,      20,     25,     1,      1,      1,      3,      20,     129,    800,    1872,   672,    480,    1208,   2000,       1209,   2000,   1210,   2000,   1211,   1000,   1212,   1000,   1213,   200,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      40
1028,   Mouboo,                 Mouboo,                 85,     1200,       0,      0,          16,     2,      30,     75,     65,     5,      15,     5,      15,     0,      40,     10,     2,      2,      1,      3,      20,     129,    600,    1872,   672,    480,    660,    1000,       660,    500,    541,    750,    660,    50,     806,    500,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
1029,   MauvePlant,             MauvePlant,             1,      1,          0,      0,          1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    680,    3000,       680,    3000,   680,    3000,   0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60
1030,   CobaltPlant,            CobaltPlant,            1,      1,          0,      0,          1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    681,    3000,       681,    3000,   681,    3000,   0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1031,   GambogePlant,           GambogePlant,           1,      1,          0,      0,          1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    682,    3000,       682,    3000,   682,    3000,   0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1032,   AlizarinPlant,          AlizarinPlant,          1,      1,          0,      0,          1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    683,    3000,       683,    3000,   683,    3000,   0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1033,   SeaSlime,               SeaSlime,               70,     600,        0,      0,          13,     1,      30,     50,     3,      7,      1,      25,     1,      0,      30,     30,     1,      1,      1,      0,      41,     131,    1500,   1872,   672,    480,    535,    800,        657,    800,    518,    500,    510,    1000,   700,    100,    1199,   5000,   568,    100,        541,    50,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1034,   GrassSnake,             GrassSnake,             140,    1000,       0,      0,          103,    1,      80,     120,    2,      10,     20,     40,     10,     10,     40,     50,     1,      1,      1,      0,      20,     133,    500,    1100,   672,    480,    716,    400,        716,    400,    712,    500,    676,    500,    660,    1600,   0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      40
1035,   Silkworm,               Silkworm,               20,     1,          0,      0,          1,      1,      0,      0,      2,      10,     20,     11,     10,     10,     40,     10,     1,      1,      1,      0,      20,     129,    1300,   1100,   672,    480,    718,    5000,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1036,   Zombie,                 Zombie,                 110,    12000,      0,      0,          1393,   2,      275,    355,    20,     15,     30,     15,     30,     3,      60,     40,     1,      1,      1,      0,      29,     133,    480,    1872,   672,    900,    631,    1000,       777,    700,    778,    120,    779,    200,    780,    150,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1037,   CloverPatch,            CloverPatch,            1,      1,          0,      0,          1,      1,      0,      0,      0,      5,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    742,    5,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1038,   Squirrel,               Squirrel,               15,     160,        1,      0,          5,      1,      15,     25,     1,      6,      1,      3,      1,      0,      15,     40,     1,      1,      1,      3,      20,     129,    800,    800,    672,    480,    743,    7000,       680,    1000,   681,    1000,   682,    1000,   683,    1000,   807,    800,    860,    550,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      15

//1039, FireLizard

1040,   Wisp,                   Wisp,                   70,     9300,       0,      0,          1210,   2,      215,    350,    0,      20,     45,     12,     13,     15,     0,      45,     1,      1,      1,      0,      27,     137,    380,    2000,   672,    1500,   772,    500,        703,    150,    703,    120,    0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1041,   Snail,                  Snail,                  30,     900,        0,      0,          18,     1,      60,     65,     20,     15,     10,     1,      25,     0,      20,     10,     1,      1,      1,      0,      20,     129,    1800,   2500,   672,    480,    719,    500,        806,    400,    1250,   1000,   1251,   1500,   1248,   500,    1252,   2000,   0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,      40
1042,   Spectre,                Spectre,                140,    6500,       0,      3978,       359,    3,      160,    220,    40,     0,      35,     70,     22,     15,     20,     70,     1,      1,      1,      0,      49,     137,    650,    1700,   800,    500,    773,    500,        703,    150,    703,    120,    0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1043,   Skeleton,               Skeleton,               90,     6800,       0,      0,          1467,   1,      51,     284,    12,     10,     35,     18,     3,      8,      71,     65,     1,      1,      1,      0,      29,     175,    340,    1800,   672,    950,    775,    200,        775,    280,    776,    300,    631,    1000,   0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1044,   LadySkeleton,           LadySkeleton,           90,     5500,       0,      0,          957,    2,      73,     146,    31,     8,      20,     25,     15,     8,      43,     48,     1,      1,      1,      0,      29,     175,    650,    750,    672,    700,    775,    200,        775,    280,    776,    300,    631,    1000,   0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1045,   Fallen,                 Fallen,                 120,    10000,      0,      7812,       1663,   2,      180,    430,    5,      20,     40,     3,      25,     5,      80,     45,     1,      1,      1,      0,      49,     133,    300,    1200,   672,    300,    775,    210,        775,    210,    776,    300,    631,    1000,   636,    3,      658,    2,      532,    35,         0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      50
1046,   SnakeLord,              SnakeLord,              300,    40000,      0,      0,          4321,   2,      80,     120,    10,     10,     20,     40,     10,     10,     40,     10,     1,      1,      1,      0,      20,     132,    200,    1500,   672,    480,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1047,   Poltergeist,            Poltergeist,            90,     9000,       0,      0,          1306,   3,      110,    150,    0,      20,     35,     0,      15,     15,     75,     50,     1,      1,      1,      0,      27,     137,    330,    740,    672,    400,    774,    500,        703,    150,    703,    120,    0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20

//1048, Duck

1049,   Bee,                    Bee,                    30,     600,        0,      0,          32,     1,      5,      90,     12,     4,      15,     25,     20,     3,      40,     30,     1,      1,      1,      0,      25,     137,    380,    1500,   300,    350,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30


//1052, Hivespa

//1053, Froad

//1054, Troll

1055,   Butterfly,              Butterfly,              25,     250,        0,      0,          11,     2,      10,     50,     3,      5,      10,     45,     10,     15,     35,     40,     1,      1,      1,      3,      44,     129,    350,    780,    300,    800,    718,    1000,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      60
1056,   CaveMaggot,             CaveMaggot,             10,     100,        0,      0,          3,      1,      10,     10,     0,      5,      5,      5,      1,      0,      6,      5,      1,      1,      1,      3,      21,     133,    700,    1872,   672,    480,    505,    800,        501,    150,    518,    400,    533,    150,    502,    70,     522,    10,     0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1057,   AngryScorpion,          AngryScorpion,          20,     200,        0,      0,          5,      1,      15,     15,     0,      5,      5,      5,      1,      0,      15,     5,      1,      1,      1,      3,      20,     133,    1000,   1872,   672,    480,    4000,   700,        510,    100,    509,    50,     518,    700,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1058,   IceGoblin,              IceGoblin,              25,     330,        0,      0,          10,     1,      20,     25,     0,      5,      5,      5,      1,      0,      6,      30,     1,      1,      1,      3,      21,     133,    700,    1872,   672,    480,    505,    800,        501,    150,    518,    800,    502,    150,    521,    70,     522,    10,     4026,   500,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1059,   GCMaggot,               GiantCaveMaggot,        90,     2000,       0,      0,          102,    2,      60,     80,     2,      7,      10,     10,     2,      1,      22,     1,      2,      2,      1,      0,      41,     133,    1000,   1872,   672,    480,    727,    10000,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      25
1060,   Archant,                Archant,                30,     400,        0,      0,          14,     1,      20,     30,     4,      6,      10,     5,      1,      0,      12,     10,     1,      1,      1,      0,      25,     133,    1000,   1500,   672,    480,    537,    300,        535,    100,    640,    40,     0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1061,   Moggun,                 Moggun,                 60,     800,        0,      0,          52,     1,      70,     90,     20,     10,     50,     40,     10,     10,     10,     10,     1,      1,      1,      0,      25,     137,    600,    1500,   672,    480,    611,    600,        4001,   1000,   4002,   20,     0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      40
1062,   Terranite,              Terranite,              110,    6000,       0,      0,          889,    1,      200,    300,    20,     40,     60,     40,     40,     30,     60,     40,     1,      1,      1,      0,      29,     133,    400,    872,    672,    900,    4001,   600,        4004,   20,     4005,   20,     4007,   20,     763,    500,    640,    500,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1063,   Pumpkin,                Pumpkin,                1,      200,        0,      0,          1,      1,      0,      0,      0,      5,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     0,      800,    800,    672,    480,    3000,   100,        3001,   20,     3002,   10,     3003,   15,     3011,   500,    3006,   1500,   3007,   2000,       3010,   2500,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1064,   Bandit,                 Bandit,                 20,     400,        0,      0,          21,     1,      40,     40,     5,      0,      10,     10,     10,     10,     10,     10,     1,      1,      1,      0,      29,     135,    500,    1500,   672,    900,    4016,   800,        521,    200,    526,    500,    535,    200,    0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1065,   BanditLord,             BanditLord,             40,     2000,       0,      0,          103,    5,      50,     50,     15,     15,     15,     15,     15,     15,     15,     15,     1,      1,      1,      0,      29,     135,    400,    1500,   672,    900,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1066,   VampireBat,             VampireBat,             30,     800,        0,      0,          9,      1,      15,     2,      0,      8,      8,      8,      1,      4,      20,     4,      6,      1,      1,      3,      24,     129,    800,    1872,   672,    480,    501,    150,        518,    400,    533,    150,    521,    70,     522,    1,      753,    3000,   754,    2000,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1067,   Reaper,                 Reaper,                 50,     555,        0,      0,          156,    7,      333,    444,    30,     80,     100,    120,    70,     120,    100,    50,     1,      50,     1,      1,      89,     165,    500,    1200,   800,    300,    777,    1000,       775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1068,   Reaper2,                Reaper2,                50,     5550,       0,      0,          1321,   7,      222,    333,    30,     80,     100,    120,    70,     120,    100,    50,     1,      50,     1,      1,      89,     165,    500,    1200,   800,    300,    777,    1000,       775,    500,    776,    100,    1221,   10,     0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1069,   Scythe,                 Scythe,                 40,     3000,       0,      0,          617,    1,      200,    350,    30,     10,     100,    250,    1,      1,      150,    90,     1,      50,     1,      0,      40,     133,    220,    700,    672,    500,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1070,   BallLightning,          BallLightning,          40,     10,         0,      0,          1,      1,      5,      10,     40,     65,     1,      200,    1,      1,      1,      1,      1,      50,     1,      0,      47,     133,    110,    1500,   672,    0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1071,   IceElement,             IceElement,             100,    5000,       0,      0,          689,    3,      60,     200,    5,      20,     15,     25,     40,     15,     45,     30,     1,      1,      1,      0,      41,     135,    330,    740,    672,    400,    4026,   900,        537,    750,    568,    400,    543,    900,    544,    250,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1072,   Yeti,                   Yeti,                   100,    8500,       0,      0,          726,    2,      100,    400,    60,     15,     60,     5,      45,     15,     60,     32,     1,      1,      1,      0,      61,     135,    220,    1200,   672,    900,    4023,   700,        4024,   300,    4025,   400,    4027,   142,    4021,   800,    4022,   700,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
