//THIS FILE IS GENERATED AUTOMATICALLY
//DO NOT EDIT IT DIRECTLY
//Edit mob_db.conf instead!
//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   CRITDEF,STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop0id,Drop0%, Drop1id,Drop1%, Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Drop9id,Drop9%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1011,   FireGoblin,             FireGoblin,             20,     220,    0,      41,     4,      1,      15,     20,     0,      5,      0,      1,      1,      1,      0,      6,      30,     9,      10,     1,      3,      13,     129,    800,    1872,   672,    480,    505,    800,    501,    150,    518,    800,    502,    150,    521,    70,     522,    10,     701,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            30
1017,   Bat,                    Bat,                    20,     150,    0,      27,     3,      1,      5,      25,     0,      5,      0,      1,      1,      1,      0,      20,     25,     9,      10,     1,      3,      12,     129,    800,    1872,   672,    480,    505,    800,    501,    150,    518,    400,    533,    150,    521,    70,     522,    1,      753,    3000,   754,    2000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            40
1018,   Pinkie,                 Pinkie,                 30,     300,    0,      60,     7,      2,      15,     20,     0,      5,      0,      1,      1,      1,      0,      20,     25,     2,      10,     1,      3,      10,     129,    800,    1872,   672,    480,    614,    1000,   751,    40,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,            50
1019,   SpikyMushroom,          SpikyMushroom,          30,     300,    0,      54,     5,      1,      10,     13,     0,      5,      0,      1,      1,      1,      0,      10,     10,     9,      10,     1,      3,      10,     129,    800,    1872,   672,    480,    567,    800,    501,    150,    518,    50,     613,    400,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,            40
1020,   Fluffy,                 Fluffy,                 30,     500,    0,      100,    7,      1,      6,      10,     1,      5,      0,      1,      2,      1,      0,      20,     25,     9,      10,     1,      3,      10,     129,    800,    1600,   672,    480,    611,    800,    527,    150,    535,    400,    752,    20,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,            40
1021,   CaveSnake,              CaveSnake,              30,     800,    0,      157,    13,     1,      20,     15,     1,      5,      0,      10,     1,      1,      0,      5,      20,     9,      10,     1,      3,      10,     129,    800,    1872,   672,    480,    612,    1000,   610,    40,     713,    500,    717,    400,    717,    400,    641,    20,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,            50
1025,   LogHead,                LogHead,                30,     500,    0,      150,    5,      1,      10,     20,     50,     5,      0,      1,      1,      1,      0,      20,     25,     9,      10,     1,      3,      12,     129,    800,    1872,   672,    480,    569,    2000,   740,    2500,   743,    3000,   569,    2000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            50
1027,   EasterFluffy,           EasterFluffy,           30,     500,    0,      100,    7,      1,      10,     12,     0,      5,      0,      1,      1,      1,      0,      20,     25,     9,      10,     1,      3,      10,     129,    800,    1872,   672,    480,    1208,   2000,   1209,   2000,   1210,   2000,   1211,   1000,   1212,   1000,   1213,   200,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,            40
1035,   Silkworm,               Silkworm,               20,     1,      0,      1,      1,      1,      0,      0,      2,      10,     0,      20,     11,     10,     10,     40,     10,     9,      10,     1,      0,      10,     129,    1300,   1100,   672,    480,    718,    5000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,            40
1041,   Snail,                  Snail,                  30,     900,    0,      180,    18,     1,      50,     65,     20,     15,     0,      10,     1,      25,     0,      20,     10,     9,      10,     1,      0,      10,     129,    1800,   2500,   672,    480,    719,    500,    806,    400,    1250,   1000,   1251,   1500,   1248,   500,    1252,   2000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      3,            40
