//ID,   Name,                   Jname,                  LV,     HP,     SP,     EXP,    JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%, Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength
1004,   RedScorpion,            RedScorpion,            90,     550,    0,      0,      16,     1,      50,     55,     4,      6,      8,      8,      10,     10,     30,     10,     1,      1,      1,      0,      20,     129,    1000,   1872,   672,    480,    517,    2000,   509,    100,    518,    500,    1200,   10,     1199,   760,    1201,   540,    524,    25,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      50
1006,   GiantMaggot,            GiantMaggot,            80,     500,    0,      0,      14,     2,      45,     75,     2,      7,      8,      6,      2,      1,      22,     1,      2,      2,      1,      0,      41,     129,    2000,   1872,   672,    480,    1199,   900,    519,    100,    518,    750,    501,    5000,   502,    3000,   503,    11,     526,    200,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      25
1028,   Mouboo,                 Mouboo,                 85,     1200,   0,      0,      16,     2,      30,     75,     65,     5,      15,     5,      15,     0,      40,     10,     2,      2,      1,      3,      20,     129,    600,    1872,   672,    480,    660,    1000,   660,    500,    541,    750,    660,    50,     806,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
1043,   Skeleton,               Skeleton,               90,     6800,   0,      0,      1467,   1,      51,     284,    12,     10,     35,     18,     3,      8,      71,     65,     1,      1,      1,      0,      29,     175,    340,    1800,   672,    950,    775,    200,    775,    280,    776,    300,    631,    1000,   778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1044,   LadySkeleton,           LadySkeleton,           90,     5500,   0,      0,      957,    2,      73,     146,    31,     8,      20,     25,     15,     8,      43,     48,     1,      1,      1,      0,      29,     175,    650,    750,    672,    700,    775,    200,    775,    280,    776,    300,    631,    1000,   778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1047,   Poltergeist,            Poltergeist,            90,     9000,   0,      0,      1306,   3,      110,    150,    0,      20,     35,     0,      15,     15,     75,     50,     1,      1,      1,      0,      27,     137,    330,    740,    672,    400,    774,    1000,   703,    150,    703,    120,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      20
1059,   GCMaggot,               GiantCaveMaggot,        90,     2000,   0,      0,      102,    2,      60,     80,     2,      7,      10,     10,     2,      1,      22,     1,      2,      2,      1,      0,      41,     133,    1000,   1872,   672,    480,    727,    10000,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      25
1066,   VampireBat,             VampireBat,             80,     800,    0,      0,      9,      1,      55,     150,    10,     8,      8,      8,      1,      4,      20,     4,      6,      1,      1,      3,      24,     129,    800,    1872,   672,    480,    501,    150,    518,    400,    533,    150,    521,    70,     522,    1,      5115,   3000,   754,    2000,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1069,   Scythe,                 Scythe,                 80,     3000,   0,      0,      617,    1,      200,    350,    30,     10,     100,    250,    1,      1,      150,    90,     1,      50,     1,      0,      40,     133,    220,    700,    672,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1070,   BallLightning,          BallLightning,          80,     300,    0,      0,      1,      1,      5,      10,     40,     65,     1,      200,    1,      1,      1,      1,      1,      50,     1,      0,      47,     133,    110,    1500,   672,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1073,   TheLost,                TheLost,                83,     5000,       0,      8750,       2840,   5,      125,    150,    10,     70,     5,      40,     10,     70,     70,     40,     4,      9,      1,      1,      69,     141,    500,    2000,   672,    300,    5110,   500,    5110,   500,    631,    500,    566,     500,   778,    800,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1074,   RedBone,                RedBone,                90,     8000,       0,      9750,       3434,   2,      100,    330,    24,     30,     35,     25,     3,      50,     80,     75,     2,      2,      1,      1,      29,     175,    340,    1800,   672,    950,    775,    75,     775,    115,    776,    135,    631,    4,     778,    250,    0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
1077,   DrunkenSkeleton,        DrunkenSkeleton,        90,     7200,   0,      0,      530,    1,      55,     284,    30,     10,     35,     10,     3,      8,      71,     65,     1,      1,      1,      0,      29,     137,    350,    1800,   672,    950,    790,    300,    789,    280,    3003,   100,    3000,   50,     3009,   250,    3006,   400,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1078,   TipsySkeleton,          TipsySkeleton,          90,     7000,   0,      0,      493,    1,      60,     284,    33,     10,     35,     10,     3,      8,      71,     65,     1,      1,      1,      0,      29,     137,    350,    1800,   672,    950,    787,    300,    788,    280,    3002,   100,    3000,   50,     3007,   400,    3010,   250,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1079,   DrunkenLadySkeleton,    DrunkenLadySkeleton,    90,     6000,   0,      0,      389,    2,      75,     146,    40,     8,      20,     20,     15,     8,      51,     48,     1,      1,      1,      0,      29,     137,    660,    750,    672,    700,    785,    300,    786,    280,    3001,   100,    3000,   50,     3010,   250,    3009,   250,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1097,   SoulEater,              SoulEater,              90,     6800,   0,      0,      1746,   1,      129,    354,    12,     10,     35,     18,     3,      8,      71,     65,     1,      1,      1,      0,      29,     175,    340,    1800,   672,    950,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1103,   WitchGuard,             WitchGuard,             84,     9742,   0,      0,      1060,   2,      200,    220,    25,     50,     90,     65,     45,     5,      120,    69,     1,      1,      1,      0,      89,     133,    290,    1200,   672,    30,     631,    2000,   631,    500,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      40
1104,   DemonicMouboo,          DemonicMouboo,          85,     800,    0,      0,      32,     2,      40,     70,     35,     15,     15,     5,      15,     0,      40,     10,     2,      2,      1,      3,      20,     133,    600,    1872,   672,    480,    660,    1000,   660,    500,    703,    750,    4004,   50,     806,    500,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      30
1109,   AngrySeaSlime,          AngrySeaSlime,          80,     1200,   0,      0,      42,     1,      40,     70,     13,     17,     3,      30,     3,      0,      35,     35,     1,      1,      1,      0,      41,     135,    1500,   1872,   672,    480,    535,    800,    657,    800,    518,    500,    510,    1000,   700,    100,    1199,   5000,   568,    100,    541,    50,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
1115,   SeaSlimeMother,         SeaSlimeMother,         90,     8000,   0,      0,      900,    5,      100,    150,    10,     20,     1,      15,     10,     10,     10,     10,     1,      1,      1,      0,      44,     175,    1500,   1872,   672,    480,    535,    800,    657,    800,    518,    500,    510,    1000,   700,    100,    1199,   5000,   568,    100,    541,    50,     0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1116,   UndeadWitch,            UndeadWitch,            80,     4200,   0,      0,      722,    3,      50,     110,    8,      31,     15,     20,     10,     25,     50,     40,     1,      1,      1,      0,      29,     175,    550,    1500,   672,    700,    631,    1000,   775,    400,    776,    300,    704,    100,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1118,   GreenSlimeMother,       GreenSlimeMother,       90,     8000,   0,      0,      900,    5,      100,    150,    15,     20,     20,     25,     20,     30,     20,     20,     1,      1,      1,      0,      21,     175,    1400,   1872,   672,    480,    502,    200,    4004,   20,     501,    100,    521,    250,    522,    200,    526,    500,    503,    500,    535,    750,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30
1124,   Wight,                  Wight,                  90,     8000,   0,      9000,   1900,   2,      56,     294,    32,     15,     28,     25,     15,     15,     50,     65,     3,      3,      1,      1,      29,     175,    340,    1400,   672,    950,    775,    100,    775,    140,    776,    150,    631,    50,     631,    500,    778,    250,    0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      4,      20
