// Params usable in scripts
// see SP enum in clif.t.hpp

// TODO finish that list and add comments
// TODO refactor: make the names match their SP:: counterpart <== halfway done

BASEEXP                         1    1
JOBEXP                          2    1
Hp                              5    1
MaxHp                           6    1
Sp                              7    1
MaxSp                           8    1
STATUSPOINT                     9    1
HEALXP                          10   1
BaseLevel                       11   1
SKILLPOINT                      12   1
Str                             13   1
Agi                             14   1
Vit                             15   1
Int                             16   1
Dex                             17   1
Luk                             18   1
Class                           19   1
Zeny                            20   1
Sex                             21   1
NEXTBASEEXP                     22   1
NEXTJOBEXP                      23   1
Weight                          24   1
MaxWeight                       25   1
ATK1                            41   1
ATK2                            42   1
MATK1                           43   1
MATK2                           44   1
DEF1                            45   1
DEF2                            46   1
MDEF1                           47   1
MDEF2                           48   1
HIT                             49   1
FLEE1                           50   1
FLEE2                           51   1
CRITICAL                        52   1
JOBLEVEL                        55   1
PARTNER                         57   1
// stats from equipment
Str2                            61   1
Agi2                            62   1
Vit2                            63   1
Int2                            64   1
Dex2                            65   1
Luk2                            66   1
GM                              500  1
ATTACKRANGE                     1000 1
ELTLVL                          1001 1
ELTTYPE                         1002 1
BASE_ATK                        1014 1
POS_X                           1074 1
POS_Y                           1075 1
PVP_CHANNEL                     1076 1
BL_ID                           1077 1
BL_TYPE                         1078 1
CHAR_ID                         1079 1
INVISIBLE                       1080 1
HIDDEN                          1081 1
MUTE_GLOBAL                     1082 1
MUTE_WHISPER                    1083 1
MUTE_PARTY                      1084 1
//MUTE_GUILD                    1085 1
AUTOMOD                         1086 1

bMaxHP      6 // MaxHP + n
bMaxSP      8 // MaxSP + n
bStr        13 // STR + n
bAgi        14 // AGI + n
bVit        15 // VIT + n
bInt        16 // INT + n
bDex        17 // DEX + n
bLuk        18 // LUK + n
bAtk        41 // ATK + n (Minimum attack power)
bAtk2       42 // ATK2 + n (Maximum attack power)
bMatk1      43 // MATK1 + n (Maximum magical attack power)
bMatk2      44 // MATK2 + n (Minimum magical attack power)
// Greatest of MATK1 and MATK2 is taken and becomes MATK1 and MATK2 is set to 0.
// So using MATK2 bonus at the moment has no real benefit you only need greater values to reach same as MATK1.
// MATK1 += INT + (INT / 5) * (INT / 5);
// MATK2 += INT + (INT / 7) * (INT / 7);
// The whole magic system is currently handled in serverdata which only uses MATK1 but the magic attack functions
// do already exist in servercode only skills must be added there.
bDef        45 // Equipment DEF + n
bDef2       46 // VIT based DEF + n
bMdef       47 // Equipment MDEF + n
bMdef2      48 // INT based MDEF + n
bHit        49 // Hit + n
bFlee       50 // Flee + n
bFlee2      51 // Perfect Dodge + n
bCritical   52 // Critical + n
bAspd       53 // Attack speed + n
bDeaf       70

// Those which can be used with the arrow are only bCritical, bAtkEle, bHit, bAddEle, bAddRace, bAddSize and bAddEff. The other bonuses are ignored.
// For more information, have a look here: http://code.google.com/p/eathena/source/browse/trunk/doc/item_bonus.txt

bAtkRange                1000 // A range bonus of n (bAtkRange,n;).
//bAtkEle                  1001 // Gives the player's attacks a n element (bAtkEle,n;).
//bDefEle                  1002 // Gives the player's defense a n element (bDefEle,n;).
