//Quest Log
//Quest ID: var id used by client
//CommonVar: Used in getq & to set
//ServerVar: Server Varaible value is stored
//SHIFT: Posistion shifted. (SHIFT * MASK)
//MASK: Size of shift to make. ((1 << MASK) - 1) << (SHIFT * MASK)
//Quest ID,CommonVar,ServerVar,SHIFT,MASK
1,QL_BEGIN,STARTAREA,0,4
2,QL_VALON,STARTAREA,1,4
3,QL_MORGAN,STARTAREA,3,4
4,QL_ZEGAS,STARTAREA,4,4
5,QL_VINCENT,QUEST_SouthTulimshar,4,2
6,QL_HIDENSEEK,QUEST_NorthTulimshar,0,8
7,QL_WELL,QUEST_Nivalis_state,4,4
8,QL_CINDY,QUEST_Nivalis_state,5,4
9,QL_BAKTAR,QUEST_Nivalis_state,0,8
10,QL_BSAGE_INVESTIGATE,QUEST_BlueSage,3,4
11,QL_SOUP,QUEST_SouthTulimshar,0,4
12,QL_SARAH,QUEST_SouthTulimshar,2,2
13,QL_SANDRA,QUEST_SouthTulimshar,6,2
// Not done
14,QL_MINEALL,QUEST_SouthTulimshar,2,8
15,QL_FIERI,QUEST_SouthTulimshar,6,4
16,QL_IMEC,QUEST_NorthTulimshar,4,2
17,QL_BANU,QUEST_NorthTulimshar,5,2
18,QL_ANWAR,QUEST_NorthTulimshar,3,4
19,QL_KYLIAN,QUEST_NorthTulimshar,5,4
20,QL_TERRANITE_ARMOR,QUEST_NorthTulimshar,6,4
// 21 => assassin quest
22,QL_CELESTIA,QUEST_Hurnscald,2,8
23,QL_Caretaker,QUEST_Graveyard_Caretaker,0,4
24,QL_Orum,OrumQuest,0,8
25,QL_Furquest,QUEST_WG_state,0,8
26,QL_Bandit,QUEST_Hurnscald,0,4
27,QL_Hinnak,QUEST_Hurnscald,1,4
28,QL_Demon_mask,QUEST_Hurnscald,2,4
29,QL_Inspector,QUEST_Hurnscald,3,4
